rank,domain,service_assessment,proposed_categories,planned_browser_action,automated_feasibility,uncertainty,source_url,assessed_date
48,wordpress.org,Publishing software and documentation,web_browsing,Read documentation; no software download,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://wordpress.org/,2026-09-14
49,x.com,Social site; apex fetch failed,web_browsing;video_streaming,Public post only after access check; overlaps Twitter,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://x.com/,2026-09-14
50,skype.com,Redirects to Teams; consumer Skype retired May 2025,web_browsing;video_conferencing,Browse Teams information; controlled Teams call only with setup,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://skype.com/,2026-09-14
51,icloud.com,Cloud portal; dynamic page not readable in research,web_browsing;file_transfer;email,Landing only; authenticated operations deferred,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://icloud.com/,2026-09-14
52,cloudfront.net,AWS CloudFront distribution namespace; requires a distribution-specific hostname,none_standalone,No standalone session; capture only as dependency of verified activity,skip,Apex inaccessible in research; endpoint role supported by vendor documentation. Local traffic not tested.,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/distribution-working-with.html,2026-09-14
53,goo.gl,Short-link apex returns HTTP 400,unknown,No standalone activity; needs an explicit working destination,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://goo.gl/,2026-09-14
54,tiktok.com,Video service; research crawler blocked by robots,web_browsing;video_streaming,Skip default; public clip and playback evidence required,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://tiktok.com/,2026-09-14
55,whatsapp.com,Messaging and browser voice/video calling,web_browsing;messaging;video_conferencing,Marketing page; controlled account and participant needed for call,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://whatsapp.com/,2026-09-14
56,pinterest.com,Visual discovery service; HTTP 403,web_browsing,Skip default; public page access unverified,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://pinterest.com/,2026-09-14
57,googledomains.com,Migration notice: registrations moved to Squarespace,web_browsing,Read notice; do not assume active registrar service,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://googledomains.com/,2026-09-14
58,cloudflare.net,HTTP 403; apex role unverified,unknown,Skip; do not infer activity from brand alone,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://cloudflare.net/,2026-09-14
59,roblox.com,Game platform; dynamic page unreadable in research,web_browsing;gaming,Public landing browsing only; gameplay needs client/setup and is deferred,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://roblox.com/,2026-09-14
60,yahoo.com,Portal; research fetch HTTP 404,web_browsing,Skip default pending accessible public page,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://yahoo.com/,2026-09-14
61,googlesyndication.com,Apex inaccessible; precise service role not confirmed from accessible primary evidence,unknown,Skip standalone collection; investigate service-specific documentation before use,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://googlesyndication.com/,2026-09-14
62,gvt1.com,Google resource/API or device-service hosts; no usable apex page,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://support.google.com/chrome/a/answer/6334001?hl=en,2026-09-14
63,pv-cdn.net,Research classification maps domain to Amazon Prime delivery; apex inaccessible,none_standalone,Do not load CDN apex; playback must occur through authorized player,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://ant.isi.edu/events/dinr2023/S/s22.pdf,2026-09-14
64,windowsupdate.com,Apex inaccessible; precise service role not confirmed from accessible primary evidence,unknown,Skip standalone collection; investigate service-specific documentation before use,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://windowsupdate.com/,2026-09-14
65,spotify.com,Music web player; dynamic page,web_browsing;audio_streaming,Landing browsing; audio needs account/playable track and separate verification,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://spotify.com/,2026-09-14
66,windows.net,Microsoft cloud endpoints shared by identity and media services; not a single activity,none_standalone,No standalone session; capture only as dependency of verified activity,skip,Apex inaccessible in research; endpoint role supported by vendor documentation. Local traffic not tested.,https://learn.microsoft.com/en-us/microsoft-365/enterprise/urls-and-ip-address-ranges?view=o365-worldwide,2026-09-14
67,ntp.org,Time service project; apex inaccessible in research,web_browsing;time_sync,Documentation browsing if accessible; no synthetic NTP sessions,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://ntp.org/,2026-09-14
68,adobe.com,Creative and document software,web_browsing,Read public product information,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://adobe.com/,2026-09-14
69,wa.me,Redirects to WhatsApp API landing,web_browsing;messaging,Landing only; no messages to real contacts,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://wa.me/,2026-09-14
70,msn.com,Portal; fetch failed,web_browsing,Skip default pending public article access,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://msn.com/,2026-09-14
71,myfritz.net,Device portal; redirects to devices page,web_browsing,Landing only; no device credentials supplied,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://myfritz.net/,2026-09-14
72,cloudflare-dns.com,Redirects to 1.1.1.1 DNS information,web_browsing;dns_resolution,Read information; loading page is browsing not DNS experiment,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://cloudflare-dns.com/,2026-09-14
73,nginx.org,Web server project and documentation,web_browsing,Read documentation,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://nginx.org/,2026-09-14
74,qq.com,Tencent news portal,web_browsing;video_streaming,Read public story; video requires explicit clip/playback check,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://qq.com/,2026-09-14
75,chatgpt.com,AI chat web application,web_browsing;interactive_ai,Landing browsing only; prompting activity deferred,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://chatgpt.com/,2026-09-14
76,zoom.us,Conferencing platform; redirects to Zoom marketing,web_browsing;video_conferencing,Controlled web meeting only with link/host/participant setup,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://zoom.us/,2026-09-14
77,cdninstagram.com,Apex inaccessible; precise service role not confirmed from accessible primary evidence,unknown,Skip standalone collection; investigate service-specific documentation before use,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://cdninstagram.com/,2026-09-14
78,root-servers.net,DNS nameserver namespace; not an end-user webpage,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://gnso.icann.org/sites/default/files/filefield_38031/presentation-dnssec-beginners-08apr13-en.pdf,2026-09-14
79,tiktokcdn.com,Apex inaccessible; precise service role not confirmed from accessible primary evidence,unknown,Skip standalone collection; investigate service-specific documentation before use,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://tiktokcdn.com/,2026-09-14
80,workers.dev,Redirects to Cloudflare Workers product site,web_browsing,Browse information; arbitrary tenant applications excluded,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://workers.dev/,2026-09-14
81,tiktokv.com,Apex inaccessible; precise service role not confirmed from accessible primary evidence,unknown,Skip standalone collection; investigate service-specific documentation before use,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://tiktokv.com/,2026-09-14
82,akam.net,Akamai delivery/DNS infrastructure; apex fetch failed,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://www.akamai.com/blog/developers/adding-akamai-shared-domains-to-the-public-suffix-list,2026-09-14
83,edgekey.net,Akamai delivery/DNS infrastructure; apex fetch failed,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://www.akamai.com/blog/developers/adding-akamai-shared-domains-to-the-public-suffix-list,2026-09-14
84,openai.com,AI research and product information,web_browsing,Read public article,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://openai.com/,2026-09-14
85,gvt2.com,Google resource/API or device-service hosts; no usable apex page,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://support.google.com/chrome/a/answer/6334001?hl=en,2026-09-14
86,baidu.com,Search portal,web_browsing,Search and browse public results if accessible,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://baidu.com/,2026-09-14
87,yandex.net,Redirects to ya.ru search page,web_browsing,Browse search; record final host,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://yandex.net/,2026-09-14
88,vimeo.com,Video hosting platform,web_browsing;video_streaming,Use explicit public player URL and verify advancing frames,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://vimeo.com/,2026-09-14
89,ytimg.com,Apex inaccessible; precise service role not confirmed from accessible primary evidence,unknown,Skip standalone collection; investigate service-specific documentation before use,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://ytimg.com/,2026-09-14
90,windows.com,Redirects to Windows product site,web_browsing,Read product information,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://windows.com/,2026-09-14
91,gwfb.net,Unknown; apex inaccessible; no authoritative role established,unknown,Skip pending evidence,unknown,Research assessment only; local headless feasibility not tested. No accessible primary evidence; category withheld.,https://gwfb.net/,2026-09-14
92,opera.com,Browser product site,web_browsing,Read features; no installer download,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://opera.com/,2026-09-14
93,samsung.com,Electronics retail/product site; regional redirect,web_browsing,Read product specs; log regional destination,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://samsung.com/,2026-09-14
94,sentry.io,Application monitoring and error tracking,web_browsing,Read public documentation; no telemetry-generation label,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://sentry.io/,2026-09-14
95,nginx.com,Redirects to F5 NGINX product information,web_browsing,Browse product documentation,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://nginx.com/,2026-09-14
96,blogspot.com,Redirects to Blogger publishing information,web_browsing,Read landing; specific blogs need explicit URLs,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://blogspot.com/,2026-09-14
97,f5.com,Application delivery/security vendor; apex inaccessible,web_browsing,Public product page if accessible,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://f5.com/,2026-09-14
98,edgesuite.net,Akamai delivery/DNS infrastructure; apex fetch failed,none_standalone,No standalone browser session; retain only as supporting traffic of a verified activity,skip,Research assessment only; local headless feasibility not tested. Excluded from standalone collection; apex results do not establish service outage.,https://www.akamai.com/blog/developers/adding-akamai-shared-domains-to-the-public-suffix-list,2026-09-14
99,yandex.ru,SSO redirect toward Dzen; no readable content,web_browsing,Skip default; resolve access before browsing,conditional,Research assessment only; local headless feasibility not tested. Access/login/consent/region and page changes may prevent collection.,https://yandex.ru/,2026-09-14
100,capgemini.com,Technology consulting company,web_browsing,Read public service page,candidate,Research assessment only; local headless feasibility not tested. Candidate does not mean verified capture.,https://capgemini.com/,2026-09-14
